id,sqe_master_id,roi_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,Commentary
,,116,02_Frg_1_a_ROI.tif:3207-3802:1,18094,64.673,28,86,3748,3124,109,166,0.752,1.523,0.657,1,116,,ר,,,,,,6,,damaged,,,
,,117,02_Frg_1_a_ROI.tif:3097-3712:1,24196,45.216,23,80,3666,2966,92,263,0.603,2.859,0.35,1,117,,ה,,,,,,6,,damaged,,,
,,118,02_Frg_1_a_ROI.tif:3173-3638:1,17424,32.416,6,77,3589,3085,99,176,0.724,1.778,0.563,1,118,,20,,,,,,6,,,,,
,,119,02_Frg_1_a_ROI.tif:3464-5371:1,26226,43.844,5,96,5301,3371,141,186,0.771,1.319,0.758,1,119,,ל,,,,,,6,,damaged,,,
,,120,02_Frg_1_a_ROI.tif:3480-5271:1,14946,61.551,29,85,5224,3401,94,159,0.734,1.691,0.591,1,120,,כ,,,,,,6,,damaged,,,
,,121,02_Frg_1_a_ROI.tif:3499-5156:1,40247,55.896,16,93,5073,3379,167,241,0.76,1.443,0.693,1,121,,מ,,,,,,7,,damaged,,,
,,122,02_Frg_1_a_ROI.tif:3498-5009:1,23478,61.912,14,90,4945,3407,129,182,0.763,1.411,0.709,1,122,,י,,,,,,7,,,,,
,,123,02_Frg_1_a_ROI.tif:3480-4894:1,19276,57.958,23,85,4833,3401,122,158,0.772,1.295,0.772,1,123,,ם,,,,,,7,,damaged,,,
,,124,02_Frg_1_a_ROI.tif:3480-4747:1,30668,49.464,26,81,4654,3398,187,164,0.782,1.14,0.877,1,124,,20,,,,,,7,,,,,
,,125,02_Frg_1_a_ROI.tif:3480-4622:1,23701,48.243,27,79,4554,3394,137,173,0.775,1.263,0.792,1,125,,א,,,,,,7,,,,,
,,126,02_Frg_1_a_ROI.tif:3491-4438:1,24120,42.225,7,76,4371,3401,134,180,0.769,1.343,0.744,1,126,,ש,,,,,,7,,,,,
,,127,02_Frg_1_a_ROI.tif:3485-4328:1,13536,42.02,8,78,4281,3413,94,144,0.751,1.532,0.653,1,127,,ר,,,,,,7,,,,,
,,128,02_Frg_1_a_ROI.tif:3483-4156:1,31812,30.079,7,93,4036,3417,241,132,0.718,1.826,0.548,1,128,,20,,,,,,7,,,,,
,,129,02_Frg_1_a_ROI.tif:3421-3993:1,24115,33.254,7,87,3948,3289,91,265,0.598,2.912,0.343,1,129,,ח,,,,,,7,,damaged,,,
,,130,02_Frg_1_a_ROI.tif:3748-5312:1,19028,30.593,6,94,5241,3681,142,134,0.785,1.06,0.944,1,130,,י,,,,,,7,,damaged,,,
,,131,02_Frg_1_a_ROI.tif:3751-5179:1,22304,46.345,8,94,5097,3683,164,136,0.779,1.206,0.829,1,131,,20,,,,,,7,,,,,
,,132,02_Frg_1_a_ROI.tif:3767-5035:1,22656,31.678,7,82,4971,3679,128,177,0.765,1.383,0.723,1,132,,ל,,,,,,7,,damaged,,,
,,134,02_Frg_1_a_ROI.tif:2916-3124:1,20384,32.043,6,73,3075,2812,98,208,0.684,2.122,0.471,1,134,,ח,,,,,,8,,damaged,,,
,,135,02_Frg_1_a_ROI.tif:3481-4526:1,12728,49.947,8,84,4489,3395,74,172,0.661,2.324,0.43,1,135,,ק,,,,,,8,,damaged,,,
,,136,02_Frg_1_a_ROI.tif:1588-3266:4,700,49.723,3,135,3231,1583,70,10,0.344,7,0.143,1,,,—,,,,,,1,,lacuna,,,
