id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,related_To,is_Joined,kerning,damaged,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,commentary
,,37,frg_1b_ROI.tif:00001-06486-02168:1,0.0006584,75.526,56,127,1.77,5.328,0.03,0.022,0.769,1.333,0.75,1,36,,,,,1,ו,,,,,,10,,,
,,38,frg_1b_ROI.tif:00001-06570-01860:1,0.006,82.397,6,142,1.505,5.35,0.053,0.115,0.676,2.188,0.457,1,40,,,,,,ו,,,,,,10,,,
,,39,frg_1b_ROI.tif:00001-06578-01953:1,0.014,73.46,48,125,1.552,5.353,0.111,0.123,0.783,1.104,0.906,1,39,,,,,1,מ,,,,,,10,,,
,,40,frg_1b_ROI.tif:00001-06579-01734:1,0.009,88.309,43,155,1.373,5.374,0.109,0.081,0.767,1.357,0.737,1,41,,,,,1,ש,,,,,,10,,,
,,41,frg_1b_ROI.tif:00001-06580-02029:1,0.001,77.436,62,97,1.662,5.382,0.016,0.068,0.492,4.15,0.241,1,38,,,,,,,,,,,,10,,,
,,42,frg_1b_ROI.tif:00001-06580-02244:1,0.014,87.228,4,186,1.809,5.328,0.077,0.177,0.662,2.312,0.433,1,35,,,,,1,ק,,,,,,10,,,
,,43,frg_1b_ROI.tif:00001-06611-01642:1,0.003,88.873,52,140,1.335,5.39,0.034,0.103,0.584,3.049,0.328,1,42,,,,,1,ה,,,,,,10,,,
,,44,frg_1b_ROI.tif:00001-06766-01734:1,0.009,83.851,49,142,1.382,5.52,0.091,0.098,0.784,1.082,0.924,1,55,,,,,,ח,,,,,,11,,,
,,45,frg_1b_ROI.tif:00001-06783-01859:1,0.011,72.963,46,127,1.481,5.527,0.097,0.113,0.781,1.161,0.861,1,54,,,,,1,ב,,,,,,11,,,
,,46,frg_1b_ROI.tif:00001-06791-01652:1,0.005,88.765,51,142,1.336,5.542,0.048,0.095,0.698,2,0.5,1,56,,,,,1,ו,,,,,,11,,,
,,47,frg_1b_ROI.tif:00001-06809-02070:1,0.044,78.033,1,165,1.629,5.46,0.151,0.289,0.708,1.918,0.521,1,46,,,,,1,ל,,,,,,11,,,
,,48,frg_1b_ROI.tif:00001-06813-01589:1,0.004,83.243,45,164,1.277,5.577,0.061,0.062,0.785,1.014,0.987,1,57,,,,,1,ק,,,,,,11,,,
,,49,frg_1b_ROI.tif:00001-06911-02208:1,0.006,71.278,42,107,1.779,5.649,0.076,0.08,0.785,1.054,0.948,1,45,,,,,,י,,,,,,11,,,
,,50,frg_1b_ROI.tif:00001-06914-01714:1,0.009,84.848,52,250,1.364,5.644,0.095,0.095,0.785,1,1,1,49,,,,,1,מ,,,,,,11,,,
,,51,frg_1b_ROI.tif:00001-06923-01948:1,0.008,89.674,59,248,1.543,5.666,0.12,0.064,0.713,1.872,0.534,1,47,,,,,,,,,,,,11,,,
