 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
186,T-S_10K6;1r.tif:0186,20995,72.366,0,177,2816,1348,95,221,249.372,107.196,90,0.661,2.326,0.430,1.000
187,T-S_10K6;1r.tif:0187,17787,66.897,0,235,2715,1427,121,147,165.872,136.534,90,0.778,1.215,0.823,1.000
188,T-S_10K6;1r.tif:0188,9600,95.428,0,144,2633,1432,80,120,135.406,90.270,90,0.754,1.500,0.667,1.000
189,T-S_10K6;1r.tif:0189,6150,49.344,0,135,2594,1429,41,150,169.257,46.264,90,0.530,3.659,0.273,1.000
190,T-S_10K6;1r.tif:0190,13500,56.691,0,143,2489,1421,90,150,169.257,101.554,90,0.736,1.667,0.600,1.000
191,T-S_10K6;1r.tif:0191,19110,68.667,0,144,2394,1425,91,210,236.960,102.683,90,0.663,2.308,0.433,1.000
192,T-S_10K6;1r.tif:0192,18040,72.169,0,177,2304,1431,88,205,231.318,99.297,90,0.660,2.330,0.429,1.000
193,T-S_10K6;1r.tif:0193,3400,99.372,42,131,2270,1460,34,100,112.838,38.365,90,0.595,2.941,0.340,1.000
194,T-S_10K6;1r.tif:0194,13144,56.248,0,134,2164,1421,106,124,139.919,119.608,90,0.781,1.170,0.855,1.000
195,T-S_10K6;1r.tif:0195,12126,60.217,0,134,2061,1416,94,129,145.561,106.068,90,0.766,1.372,0.729,1.000
196,T-S_10K6;1r.tif:0196,5002,53.666,0,128,2020,1418,41,122,137.662,46.264,90,0.591,2.976,0.336,1.000
197,T-S_10K6;1r.tif:0197,22041,66.587,0,144,1968,1426,93,237,267.426,104.939,90,0.636,2.548,0.392,1.000
198,T-S_10K6;1r.tif:0198,5304,111.083,55,185,1929,1408,39,136,153.460,44.007,90,0.544,3.487,0.287,1.000
199,T-S_10K6;1r.tif:0199,20500,62.255,0,167,1765,1406,164,125,185.054,141.047,0,0.771,1.312,0.762,1.000
200,T-S_10K6;1r.tif:0200,12642,58.853,0,153,1679,1409,86,147,165.872,97.041,90,0.732,1.709,0.585,1.000
201,T-S_10K6;1r.tif:0201,4232,62.775,0,141,1663,1410,46,92,103.811,51.905,90,0.698,2.000,0.500,1.000
202,T-S_10K6;1r.tif:0202,15476,54.245,0,132,1558,1403,106,146,164.743,119.608,90,0.766,1.377,0.726,1.000
203,T-S_10K6;1r.tif:0203,4656,98.806,36,140,1510,1412,48,97,109.453,54.162,90,0.696,2.021,0.495,1.000
204,T-S_10K6;1r.tif:0204,15410,53.650,0,181,1376,1409,134,115,151.203,129.764,0,0.781,1.165,0.858,1.000
205,T-S_10K6;1r.tif:0205,19747,63.873,0,140,1286,1319,91,217,244.858,102.683,90,0.654,2.385,0.419,1.000
206,T-S_10K6;1r.tif:0206,4800,49.299,0,124,1266,1407,40,120,135.406,45.135,90,0.589,3.000,0.333,1.000
207,T-S_10K6;1r.tif:0207,14577,53.251,0,136,1150,1399,113,129,145.561,127.507,90,0.782,1.142,0.876,1.000
208,T-S_10K6;1r.tif:0208,3240,99.276,39,139,1105,1430,45,72,81.243,50.777,90,0.744,1.600,0.625,1.000
209,T-S_10K6;1r.tif:0209,13289,56.640,0,150,1008,1391,97,137,154.588,109.453,90,0.762,1.412,0.708,1.000
210,T-S_10K6;1r.tif:0210,12707,47.173,0,135,929,1392,97,131,147.818,109.453,90,0.768,1.351,0.740,1.000
