 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
61,61,att.duration.iso,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.iso.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.iso.html</a>,,TEI infrastructure,,,,
62,62,att.duration.w3c,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.w3c.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.w3c.html</a>,,TEI infrastructure,,,,
63,63,att.edition,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.edition.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.edition.html</a>,,TEI infrastructure,,,,
64,64,att.editLike,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.editLike.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.editLike.html</a>,,TEI infrastructure,,,,
65,65,att.enjamb,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.enjamb.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.enjamb.html</a>,,Verse,,,,
66,66,att.entryLike,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.entryLike.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.entryLike.html</a>,,dictionary,,,,
67,67,att.fragmentable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.fragmentable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.fragmentable.html</a>,,TEI infrastructure,,,,
68,68,att.global.analytic,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.analytic.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.analytic.html</a>,,analysis,,,,
69,69,att.global.change,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.change.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.change.html</a>,,transc,,,,
70,70,att.global.facs,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.facs.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.facs.html</a>,1,transc,Correspondence between an element containing text and part of an image,,,
71,71,att.global,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.html</a>,,TEI infrastructure,,,,
72,72,att.global.linking,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.linking.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.linking.html</a>,,linking,,,,
73,73,att.handFeatures,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.handFeatures.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.handFeatures.html</a>,,TEI infrastructure,,,,
74,74,att,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.html</a>,1,tagdocs,,,,
75,75,att.identified,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.identified.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.identified.html</a>,,tagdocs,,,,
76,76,att.internetMedia,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.internetMedia.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.internetMedia.html</a>,,TEI infrastructure,,,,
77,77,att.interpLike,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.interpLike.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.interpLike.html</a>,,TEI infrastructure,,,,
78,78,att.lexicographic,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.lexicographic.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.lexicographic.html</a>,,dictionary,,,,
79,79,att.measurement,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.measurement.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.measurement.html</a>,,TEI infrastructure,,,,
80,80,att.media,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.media.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.media.html</a>,,TEI infrastructure,,,,
81,81,att.metrical,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.metrical.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.metrical.html</a>,,Verse,,,,
82,82,att.milestoneUnit,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.milestoneUnit.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.milestoneUnit.html</a>,,core,,,,
83,83,att.msExcerpt,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.msExcerpt.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.msExcerpt.html</a>,,msdescription,,,,
84,84,att.namespaceable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.namespaceable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.namespaceable.html</a>,,tagdocs,,,,
